Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:38,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:39,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,,,4,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:44,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,2,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:44,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,7.3,,6,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:45,Xenochrophis trianguligerus,Spesies,-,Colubridae,Reptiles,Snakes,,,0,1.5,Tanah,Diam,,Ditemukan di tebing
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:53,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,4.2,,1,1,Tanah,Diam,,Ditemukan di tebing
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:53,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,3.2,,1,1,Tanah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:53,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,2.9,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:59,Odorrana hosii,Spesies,-,Ranidae,Amphibians,Frogs,,,,,Batu,Diam,,Ditemukan Jarian
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:55,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,3.1,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:01,Pulchrana picturata,Spesies,-,Ranidae,Amphibians,Frogs,4.2,,2,1,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:06,Pulchrana picturata,Spesies,-,Ranidae,Amphibians,Frogs,4.1,,1,1,Batu,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Limnonectes ingeri,Spesies,-,Dicroglossidae,Amphibians,Frogs,7.8,,1,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Limnonectes ingeri,Spesies,-,Dicroglossidae,Amphibians,Frogs,7.2,,1,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Limnonectes ingeri,Spesies,-,Dicroglossidae,Amphibians,Frogs,6.7,,1,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Limnonectes ingeri,Spesies,-,Dicroglossidae,Amphibians,Frogs,6.5,,1,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Limnonectes ingeri,Spesies,-,Dicroglossidae,Amphibians,Frogs,5.8,,1,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:19,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:20,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,,,4,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:23,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:25,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,,,1,0,Serasah,Diam,,
